Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,AccountId
522347,36,1290872162007,Sarath,1290872162007,,,,1,0,0,,,676260
521796,131,1290805990167,avanderm,1620218921263,,,,32,0,0,,,247214
520897,41,1290745821760,tim,1613470986680,,,,10,4,0,,,246644
519890,73,1290676242073,Aleksander,1317193499363,http://innovitae.no,"Oslo, Norway","<p>Developing in PHP (Zend, Doctrine).</p>
",6,0,0,,,246019
519534,31,1290644363217,Ben,1292157765957,,,,0,0,0,,,674721
518360,1,1290577503717,STh,1361942159067,,"Colombo, Sri Lanka","<p>Undergraduate of Computer Science and Engineering
University of Moratuwa
Sri Lanka</p>
",6,0,0,,,245076
515776,10868,1290412790427,webwrks,1590107915943,,,,162,66,1,,,243527
514962,1249,1290325766427,mdthh,1682914147393,,"Hamburg, Germany",,68,78,1,,,243037
512856,205,1290120845490,cria,1293950683350,,,,26,0,0,,,671020
512491,11,1290102034040,Arctific,1297207035673,http://www.linkedin.com/in/arctific,,,2,0,0,,,670896
512104,11,1290083650360,hrushikesh,1290084878777,,,,1,0,0,,,670539
510842,63,1290001108993,Geo,1538742833557,,"Oslo, Norway",,4,0,0,,,240535
510694,1584,1289992511233,Vitani,1676464768307,,England,"<p>I've been writing code since 1998, starting with Basic on an Acorn A3000, then moving to scripts in mIRC and some PHP, I then learnt VB and moved on to .NET in around 2003. Since then I've learnt a bit of Perl, Python, Erlang &amp; Elixir, submerged myself in JavaScript, HTML &amp; SQL and somehow managed to get married and raise three great kids.</p>
",184,739,8,,,240457
509877,11,1289930760033,Sumanta,1290021105307,,,,0,0,0,,,670260
509571,1449,1289914578500,MHollis,1675913795053,,"Lakeland, FL, USA",,161,46,7,,,239752
505340,2041,1289533781720,ceyquem,1683402996637,https://area51.stackexchange.com/proposals/104688/telecommunications,Around the World,"<p>Coding on personal time since last century</p>
",137,136,18,,,237286
503207,149,1289393401223,simpleuser008,1683184797490,,Finland,,7,100,2,,,236000
502924,11,1289376956183,Larry Pebkac,1289402907243,,,,8,0,0,,,235831
502313,13,1289330359363,Dinna_Dawg,1305797698123,,,,5,0,0,,,235476
501677,218,1289294954573,rbhro,1311851128753,,,,53,13,0,,,235090
501632,31,1289291881177,Gabby Rikoff,1289291881177,,,,1,0,0,,,667171
501218,171,1289253923537,Richard K.,1626683939793,,,,7,3,0,,,234818
501178,1,1289251516757,Aaron Blakeley,1289251516757,,,,3,0,0,,,670461
501018,11,1289241355900,wolfgang,1289241355900,,,,2,0,0,,,670405
499601,817,1289094466097,JacobN,1623355205843,http://JacobsLadd3r.net,"Virginia Beach, VA","<p>I give Community Support @ <a href=""http://www.inmotionhosting.com/support/team"" rel=""nofollow"">InMotion Hosting</a></p>

<p>I'm also a runner, gym rat, rock climber, <a href=""https://soundcloud.com/jacobsladd3r"" rel=""nofollow"">poet</a>, <a href=""http://vbspca.com/"" rel=""nofollow"">VA Beach SPCA Dog Jogger</a> , and general self-improver.</p>

<p>I do server management, website fixing, coding, SEO, social media, and content creation among the billion other things rattling around in my head.</p>
",73,4,0,,,233836
496278,13,1288805883193,necenzurat,1677544216617,https://necenzurat.com,"Bucharest, Romania",,35,23,0,,,231836
495233,11,1288729933197,dubtsharp,1331112163217,,,,1,0,0,,,665576
494263,1,1288667759847,merlion,1288678164963,,,,1,0,0,,,668802
493245,75,1288591455470,jralden,1627173838013,,,,12,3,0,,,229945
491500,11,1288368405940,user491500,1316516291977,,,,3,0,0,,,228898
491434,21,1288364280463,user491434,1318426136920,,,,3,0,0,,,228862
490752,118,1288311713213,Nomad,1369713642940,,,,13,9,0,,,228447
490669,13,1288302638377,simonp,1290226833980,,,,1,0,0,,,667096
488219,113,1288136883903,Scott Allen,1316150205060,,"San Diego, CA","<p>riding the rails</p>
",62,1,0,,,226909
486393,11,1288008874707,Bratt,1291040040523,,,,3,0,0,,,662044
485797,131,1287946427300,nayden,1644100148620,,,,8,16,0,,,225363
485663,1829,1287933116287,bokor,1651772541363,,"Redwood City, CA",,113,3,0,,,225266
485033,31,1287835221667,paveu,1287844484707,,,,1,0,0,,,661598
482669,126,1287645843713,dobrokot,1346167779017,,,,13,1,0,,,223448
481649,7073,1287576310740,Steren,1683260001080,http://www.steren.fr,"San Francisco, CA, USA",,837,100,22,,,222801
480892,1,1287514943633,Muhammed,1287514943633,,,,0,0,0,,,664073
480273,51,1287479170953,Rajesh,1287664479140,,,,4,0,0,,,660431
479851,13461,1287440874487,Sébastien,1683210557650,,"Antibes, France","<p>Android and iOS developer.</p>
",803,787,15,,,221711
477331,71,1287168969563,Davejavu,1290191335183,,Michigan,"<p>I have been a professional embedded C developer for over 20 years.  I work for a large audio company and work on OEM Radio/Navigation/Amplifier code for several automotive clients.</p>

<p>My original degree is in electrical engineering.</p>
",5,0,0,,,220091
475971,23,1287070242270,Abelardo Cecena,1599519456157,http://bwnet.mx,"Colima, Mexico",,23,6,0,,,219200
471877,166,1286765920820,andrew,1623089571867,,,,22,26,0,,,216555
470574,11,1286565009777,qwerty,1292090249100,,,,1,0,0,,,657221
469717,2082,1286494830257,jnevelson,1600286895437,,"San Francisco, CA",,159,301,2,,,215222
465057,9,1286093994123,Tim,1286093994123,,,,3,0,0,,,655691
464504,1465,1286007633410,dstricks,1672427559270,,"Honolulu, HI, United States","<p>All things software.</p>
",97,36,6,,,211974
463374,13,1285888893907,gio,1285905360290,,,,2,0,0,,,658139
463068,1,1285865667903,KianS,1285867613973,,,,0,0,0,,,658045
463017,175,1285603335433,InsanityNet,1307200221280,http://www.insanitynet.com/,Indiana,"<p>I am a web programmer</p>
",36,1,0,,,211056
460246,1,1285655007840,Debasish Bhadra,1286340955967,,"Bangalore, India","<p><strong>Senior SoftwareEngineer</strong></p>
",10,0,0,,,209302
458695,59,1285507004133,user458695,1340108784690,,,,3,0,0,,,208303
456266,5852,1285251637337,YvesR,1683289229283,,Germany,"<p>I am a generalist instead of a specialist. Try to workout in many projects and often have contact with many different technology. Beside my work I have 2 kids, so nothing more to say about hobbies until they are grown up :)</p>
<p>#SOreadytohelp</p>
",633,2174,28,,,206772
455877,227,1285225839490,dmtrlbdv,1683201644453,,Russia,,47,6,0,,,206529
455847,1421,1231138600287,Satish Ravipati,1668073941337,,India,"<p>PHP Programmer interested to learn new things</p>
",419,91,1,,,206512
454708,1007,1285136103167,Shalni,1292333207163,,"Bhubaneswar, India",,147,29,1,,,205783
453837,31,1285067676007,nitin dhage,1285069551020,,,,8,0,0,,,652224
450862,158,1284745057707,Stephen Ulmer,1386109998153,,"Gainesville, FL",,10,32,0,,,203289
449145,295,1284615967637,Doyle,1295406641103,,"Sydney, Australia",,12,3,0,,,202214
449071,7964,1284605864220,Guillaume Massé,1683223581340,,"Montreal, Canada","<p>I'm Gui !</p>
",1094,490,68,,,202176
447887,2391,1284508225750,Matt,1433344980807,,"Dusseldorf, Germany",,162,17,3,,,201445
447717,13,1284492752267,foke,1289905665100,,,,1,0,0,,,798617
447232,1306,1284459681380,scraplesh,1683194571773,,"Penza, Russia","<p>web-developer</p>
",163,477,5,,,201034
445435,21,1284268913170,Diego Toala,1287173129507,http://www.sdk.com.ec,,,2,0,0,,,652460
444642,347,1284143938807,vikox,1528973791603,,,,22,0,0,,,199372
444024,1271,1284095322003,CSharpNoob,1304709410320,,,,157,44,0,,,199009
442549,16,1283957591117,Drew,1579129293870,http://Www.druup.com,"Bristol, United Kingdom","<p>Pm at druup.com </p>
",10,5,0,,,198095
440186,11,1283717422300,C M,1286138757340,,,,1,0,0,,,650476
439890,9,1283659536707,S.PRATHIBA,1284171467740,,,,46,0,0,,,647640
439058,3204,1283524230633,Tsunaze,1634588997990,http://androidareus.wordpress.com/,"Paris, France","<p>Android Developer</p>
",628,141,4,,,195896
438163,1,1283443672293,Kharizmi,1284138470563,http://ferasferas.wordpress.com,,,0,0,0,,,195338
435554,1,1283229966067,student,1283229966067,,,,1,0,0,,,646281
433144,1,1282926876370,Hans de Jong,1283123304270,,,,2,0,0,,,645416
431233,31,1282772942213,Moni,1282773843387,,,,7,0,0,,,644716
428575,1,1282578112440,Paul Harvey,1284991492903,,,,2,0,0,,,646996
428253,43,1282555970870,hsiun,1322989251297,,,,3,0,0,,,189115
427045,11,1282385488537,Jeremy,1282459646500,,,,0,0,0,,,643540
425634,67,1282244511550,Krabbe,1282244511550,,,,6,0,0,,,643128
422931,1007,1282053946983,gulbrandr,1497425206213,,"Paris, France",,102,140,1,,,185916
422615,31,1282034108923,user422615,1284649774723,,,,8,0,0,,,185711
419780,1271,1281717639823,Jonathan Roth,1498753350307,,,"<p>entrepreneur - engineering - apps </p>
",68,31,1,,,184005
418702,137,1281633532133,krishna,1291146536897,,,,26,0,0,,,644054
418642,51,1281630242737,Vladimir,1283395112473,http://elcomercio.pe,,,3,0,0,,,640831
417891,1,1281577097047,Shane,1296511410907,,,,2,0,0,,,640544
416259,23,1281450738843,websta,1282900238617,,,,11,0,0,,,639672
416059,1617,1281437773550,Vikram,1660726420470,http://www.dotnetforall.com,"Bangalore, India","<p>Working as Software developer. You can follow me on <a href=""https://twitter.com/dotnetforall"" rel=""nofollow noreferrer"">twitter here</a>. and add me to your<a href=""https://in.linkedin.com/pub/vikram-chaudhary/6/710/6aa"" rel=""nofollow noreferrer""> linked in profile</a></p>
",266,217,4,,,181807
415743,11,1281413042037,john,1292888009340,,,,0,0,0,,,639505
415035,83,1281354572507,Franky,1308122259347,,,,9,0,0,,,639091
413703,411,1281166428320,shaheen,1683349533067,http://shaheengandhi.com,,,51,22,0,,,180405
413327,17,1281116577530,Wen,1281643947650,,"San Francisco, CA",,5,0,0,,,180174
412451,745,1281044799520,Brian Maupin,1672461405817,,United States,,42,94,4,,,179643
410942,683,1280934742500,nash,1280974331627,,,,73,0,0,,,638140
409716,1,1280843468203,Martin,1280856583303,,,,2,0,0,,,637091
409005,543,1280779436490,coolkid,1396051144420,http://duonglapnghiep.com,,"<p>I like problem solving. My major is computer science. I worked with java, C#.NET, PHP, Haskell, C++, Lisp. In my opinion, the thing that makes a programmer a guru is his programming thinking, not the the number programming language he know. </p>
",59,14,2,,,177578
408857,68,1280767727197,Jonathan McPhail,1516288110960,,,,11,6,0,,,177490
408426,9427,1257470807483,Rumple Stiltskin,1630745496147,,,,342,26,0,,,177231
408050,11,1280685904843,richa,1280685904843,,,,5,0,0,,,636700
407687,131,1280614363640,Josh Prismon,1406727488737,,,,6,0,0,,,176783
406790,20696,1280498375147,Andrew,1597347398347,,,"<p>I’m altogether introverted, cynical and peevish, but despite my laundry list of irritations I’m typically upbeat and laughing. I enjoy classic rock, dystopian novels, golf, playing guitar, and hobby hopping. If you’re looking for me outside of work hours, I’ll probably be at the driving range.</p>

<p>I’m a novice software developer, but have an unwavering motivation to bring innovation and quality to software products. I’ve assimilated a strong understanding of a software product’s development cycle, enjoy addressing new challenges and using new technologies, and am passionate about the development of software products that make a difference.</p>
",985,116,2,,,176231
403747,31,1280255631013,Thomas E Enebo,1295560232097,http://www.jruby.org/,,,23,0,0,,,635311
402401,91,1280155759823,Franz Joseph Spiegler,1280159522553,http://google.com,,,4,0,0,,,633762
401930,1,1280119987177,Jay,1280181944100,,,,1,0,0,,,634849
401005,253,1279969045127,krissi,1677845381320,,"Hamburg, Germany",,16,40,0,,,172760
397219,131,1279654984307,QWade,1390521965797,http://www.wadebillings.com,Utah,,5,0,0,,,170487
396159,71,1279568531083,user396159,1300473004900,,,,10,0,0,,,169836
